info_id,property_type,content
1,company_overview,"Archipelago International is Southeast Asia's largest privately owned hospitality group with more than 45,000 rooms and residences in over 200 locations across Southeast Asia, the Caribbean, the Middle East and Oceania. A trusted hotel company with a long track record founded in 1997 and celebrating its 25-year milestone in 2022."
2,operations_countries,"Archipelago International operates hotels in multiple countries: Indonesia (primary market), Philippines, Thailand, Vietnam, Malaysia, and expansion into the Caribbean, Middle East, and Oceania regions."
3,portfolio_size,"Archipelago operates 150+ hotels with 200+ more in development. The group manages more than 45,000 rooms and residences across the region."
4,brand_aston,"ASTON is the flagship brand of Archipelago International, launched in 1997. It represents a diverse portfolio from luxury 5-star Grand Aston properties to mid-range Aston hotels, offering exceptional service and amenities across Southeast Asia."
5,brand_huxley,"Huxley is an ultra-chic and sophisticated brand by Archipelago International, catering to discerning travelers seeking modern luxury and contemporary design."
6,brand_alana,"ALANA is a premium brand offering refined hospitality experiences with elegant accommodations and world-class facilities."
7,brand_kamuela,"Kamuela represents upscale resort properties with distinctive charm and personalised service across Southeast Asia."
8,brand_avanika,"Avanika offers contemporary hospitality with modern amenities and stylish design for business and leisure travelers."
9,brand_harper,"Harper is a select service brand providing comfortable and convenient stays with essential amenities."
10,brand_quest,"Quest represents a smart choice for value-conscious travelers seeking reliable quality and comfort."
11,brand_fourcorners,"Four Corners is a brand emphasizing authentic local experiences with comfortable accommodations."
12,brand_neo,"NEO is a modern, efficient brand designed for the contemporary traveler seeking value and style."
13,brand_favehotel,"FAVE Hotel is a lifestyle brand offering vibrant, youthful hospitality experiences with trendy design."
14,brand_nordic,"Nordic represents Scandinavian-inspired design and comfort for discerning guests."
15,brand_pba,"PBA (Provisioned by Archipelago) is a lifestyle serviced apartment brand for extended stays."
16,services_hotel_management,"Archipelago provides comprehensive hotel management services including operations, staff training, quality assurance, and revenue management for independent hotel operators."
17,services_franchise,"Franchise Plus services allow hotel owners to adopt Archipelago's proven brand standards, systems, and expertise to enhance property performance."
18,services_technical,"Technical Services include facilities management, maintenance support, engineering solutions, and operational excellence across properties."
19,services_preopening,"Pre-opening services guide new properties from development through launch, including design consultation, staff recruitment, training, and soft opening coordination."
20,services_ecommerce,"E-commerce solutions powered by Archipelago include integrated booking engines, online distribution channels, and digital payment systems for seamless guest experiences."
21,services_global_distribution,"Global distribution network connects Archipelago properties with international booking platforms, OTAs, and reservation systems worldwide."
22,services_architecture,"Architecture and Interior Design services create distinctive property identities aligned with brand standards and local market preferences."
23,services_technology,"Information Technology services provide modern hospitality systems, property management software, and digital infrastructure solutions."
24,membership_program,"Archipelago Membership connects over 4 million members with benefits including Private Butler Chat, loyalty rewards, food and beverage discounts, and special room rates."
25,company_headquarters,"Archipelago International is headquartered in Jakarta, Indonesia, with regional offices across Southeast Asia."
26,key_markets,"Indonesia is the primary market with the largest concentration of properties. Secondary markets include Philippines, Thailand, Vietnam, and Malaysia with growing presence."
27,amenities_general,"Archipelago hotels feature modern amenities including fitness centers, swimming pools, business centers, conference facilities, fine dining restaurants, and spa services."
28,dining_experiences,"Archipelago introduced a local banana-based menu for international dining across its 150+ hotels, highlighting culinary excellence and local ingredients."
29,sustainability,"Archipelago is committed to sustainable hospitality practices, local community engagement, and responsible tourism across its hotel network."
30,recruitment,"Archipelago International actively recruits hospitality professionals, offering career development programs, training opportunities, and advancement pathways in the industry."
